Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,315.00,334.30,306.65,310.90,2100,310.90
2016-05-02,323.80,353.00,307.50,315.90,5000,315.90
2016-04-01,297.90,339.00,294.30,322.10,9400,322.10
2016-03-01,227.00,310.00,226.50,297.10,10600,297.10
2016-02-01,325.20,330.70,222.00,224.00,15000,224.00
2016-01-01,302.40,375.00,291.00,322.40,50200,322.40
2015-12-01,280.00,308.50,262.10,298.70,11400,298.70
2015-11-02,275.00,286.00,252.20,280.70,14400,280.70
2015-10-01,297.50,297.50,259.00,273.40,10300,273.40
2015-09-01,279.40,304.50,248.10,295.70,10900,295.70
2015-08-03,284.00,314.10,202.00,278.60,9900,277.29
2015-07-01,247.00,321.50,235.00,282.70,18600,281.37
2015-06-01,245.00,248.90,0.01,246.70,5800,245.54
2015-05-01,185.60,248.00,185.60,242.10,24400,240.96
2015-04-01,184.30,201.00,171.10,185.60,8500,184.73
2015-03-02,207.50,235.00,170.00,183.40,14400,182.54
2015-02-02,237.00,243.35,190.15,203.40,16700,202.44
2015-01-01,163.40,295.00,162.50,234.90,104900,233.79
2014-12-01,205.00,205.00,145.65,162.80,15900,162.03
2014-11-03,162.00,214.80,158.90,200.35,66000,199.41
2014-10-01,180.00,181.00,145.00,164.05,65500,163.28
